filename	min_trees	median_trees	max_trees	total_trees	PC_dist	patients	inferred_k	true_k	consensus_PC	selected_PC	clustering_recall	clustering_precision	clustering_Rand	selection_accuracy	sol_PC_dist	instance	method	M	m
RECAP/M12_m12/s0_k2_n50_M12_m12_simulations.txt_mcctCA_PC_r10_k4.solution.txt	2	12	282	1766	0.0	50	4	2	0.5	0.0	0.9408	1.0	0.9697959999999999	1.0	0	s0_k2_n50_M12_m12	RECAP-r10	12	12
RECAP/M12_m12/s0_k2_n50_M12_m12_simulations.txt_mcctCA_PC_r10_k5.solution.txt	2	12	282	1766	0.0	50	5	2	0.6	0.00545455	0.9136	1.0	0.955918	0.98	0	s0_k2_n50_M12_m12	RECAP-r10	12	12
RECAP/M12_m12/s0_k2_n50_M12_m12_simulations.txt_mcctCA_PC_r10_k6.solution.txt	2	12	282	1766	0.0	50	6	2	0.666667	0.00727273	0.8304	1.0	0.9134690000000001	0.92	0	s0_k2_n50_M12_m12	RECAP-r10	12	12
RECAP/M12_m12/s0_k2_n50_M12_m12_simulations.txt_mcctCA_PC_r10_k7.solution.txt	2	12	282	1766	0.0	50	7	2	0.714286	0.0	0.784	1.0	0.8897959999999999	1.0	0	s0_k2_n50_M12_m12	RECAP-r10	12	12
RECAP/M12_m12/s0_k2_n50_M12_m12_simulations.txt_mcctCA_PC_r10_k8.solution.txt	2	12	282	1766	0.0	50	8	2	0.75	0.0	0.8416	1.0	0.919184	1.0	0	s0_k2_n50_M12_m12	RECAP-r10	12	12
RECAP/M12_m12/s0_k2_n50_M12_m12_simulations.txt_mcctCA_PC_r10_k9.solution.txt	2	12	282	1766	0.0	50	9	2	0.777778	0.0	0.8208	1.0	0.9085709999999999	1.0	0	s0_k2_n50_M12_m12	RECAP-r10	12	12
RECAP/M12_m12/s0_k2_n50_M12_m12_simulations.txt_mcctCA_PC_r50_k10.solution.txt	2	12	282	1766	0.0	50	10	2	0.8	0.0	0.6736	1.0	0.833469	1.0	0	s0_k2_n50_M12_m12	RECAP-r50	12	12
RECAP/M12_m12/s0_k2_n50_M12_m12_simulations.txt_mcctCA_PC_r50_k1.solution.txt	2	12	282	1766	14.3333	50	1	2	0.5	0.130909	1.0	0.510204	0.510204	0.62	0	s0_k2_n50_M12_m12	RECAP-r50	12	12
RECAP/M12_m12/s0_k2_n50_M12_m12_simulations.txt_mcctCA_PC_r50_k2.solution.txt	2	12	282	1766	0.0	50	2	2	0.0	0.0	1.0	1.0	1.0	1.0	0	s0_k2_n50_M12_m12	RECAP-r50	12	12
RECAP/M12_m12/s0_k2_n50_M12_m12_simulations.txt_mcctCA_PC_r50_k3.solution.txt	2	12	282	1766	0.0	50	3	2	0.333333	0.0	0.9536	1.0	0.9763270000000001	1.0	0	s0_k2_n50_M12_m12	RECAP-r50	12	12
RECAP/M12_m12/s0_k2_n50_M12_m12_simulations.txt_mcctCA_PC_r50_k4.solution.txt	2	12	282	1766	0.0	50	4	2	0.5	0.0	0.9408	1.0	0.9697959999999999	1.0	0	s0_k2_n50_M12_m12	RECAP-r50	12	12
RECAP/M12_m12/s0_k2_n50_M12_m12_simulations.txt_mcctCA_PC_r50_k5.solution.txt	2	12	282	1766	0.0	50	5	2	0.6	0.00545455	0.9136	1.0	0.955918	0.98	0	s0_k2_n50_M12_m12	RECAP-r50	12	12
RECAP/M12_m12/s0_k2_n50_M12_m12_simulations.txt_mcctCA_PC_r50_k6.solution.txt	2	12	282	1766	0.0	50	6	2	0.666667	0.00727273	0.8304	1.0	0.9134690000000001	0.92	0	s0_k2_n50_M12_m12	RECAP-r50	12	12
RECAP/M12_m12/s0_k2_n50_M12_m12_simulations.txt_mcctCA_PC_r50_k7.solution.txt	2	12	282	1766	0.0	50	7	2	0.714286	0.0	0.784	1.0	0.8897959999999999	1.0	0	s0_k2_n50_M12_m12	RECAP-r50	12	12
RECAP/M12_m12/s0_k2_n50_M12_m12_simulations.txt_mcctCA_PC_r50_k8.solution.txt	2	12	282	1766	0.0	50	8	2	0.75	0.0	0.8416	1.0	0.919184	1.0	0	s0_k2_n50_M12_m12	RECAP-r50	12	12
RECAP/M12_m12/s0_k2_n50_M12_m12_simulations.txt_mcctCA_PC_r50_k9.solution.txt	2	12	282	1766	0.0	50	9	2	0.777778	0.0	0.8208	1.0	0.9085709999999999	1.0	0	s0_k2_n50_M12_m12	RECAP-r50	12	12
RECAP/M12_m12/s0_k3_n50_M12_m12_simulations.txt_mcctCA_PC_r100_k10.solution.txt	1	8	156	1154	0.0	50	10	3	0.7	0.00181818	0.7698020000000001	1.0	0.924082	0.98	0	s0_k3_n50_M12_m12	RECAP-r100	12	12
RECAP/M12_m12/s0_k3_n50_M12_m12_simulations.txt_mcctCA_PC_r100_k1.solution.txt	1	8	156	1154	23.0	50	1	3	0.757576	0.21454499999999999	1.0	0.329796	0.329796	0.22	0	s0_k3_n50_M12_m12	RECAP-r100	12	12
RECAP/M12_m12/s0_k3_n50_M12_m12_simulations.txt_mcctCA_PC_r100_k2.solution.txt	1	8	156	1154	9.58333	50	2	3	0.333333	0.07272730000000001	1.0	0.6464	0.819592	0.78	0	s0_k3_n50_M12_m12	RECAP-r100	12	12
RECAP/M12_m12/s0_k3_n50_M12_m12_simulations.txt_mcctCA_PC_r100_k3.solution.txt	1	8	156	1154	0.0	50	3	3	0.0	0.0	1.0	1.0	1.0	1.0	0	s0_k3_n50_M12_m12	RECAP-r100	12	12
RECAP/M12_m12/s0_k3_n50_M12_m12_simulations.txt_mcctCA_PC_r100_k4.solution.txt	1	8	156	1154	0.0	50	4	3	0.25	0.010909100000000001	0.970297	1.0	0.9902040000000001	0.98	0	s0_k3_n50_M12_m12	RECAP-r100	12	12
RECAP/M12_m12/s0_k3_n50_M12_m12_simulations.txt_mcctCA_PC_r100_k5.solution.txt	1	8	156	1154	0.0	50	5	3	0.4	0.0	0.908416	1.0	0.9697959999999999	1.0	0	s0_k3_n50_M12_m12	RECAP-r100	12	12
RECAP/M12_m12/s0_k3_n50_M12_m12_simulations.txt_mcctCA_PC_r100_k6.solution.txt	1	8	156	1154	0.0	50	6	3	0.5	0.023636400000000002	0.918317	1.0	0.9730610000000001	0.94	0	s0_k3_n50_M12_m12	RECAP-r100	12	12
RECAP/M12_m12/s0_k3_n50_M12_m12_simulations.txt_mcctCA_PC_r100_k7.solution.txt	1	8	156	1154	0.0	50	7	3	0.571429	0.043636400000000006	0.7797029999999999	1.0	0.9273469999999999	0.84	0	s0_k3_n50_M12_m12	RECAP-r100	12	12
